Fellow	Year	Citation
Dr. FAZAL ALI	1999	For contributions to the design and development of monolithic microwave integrated circuits (MMICs) and providing leadership in commercial applications of the same. 
LEOPOLDO ANGRISANI	2019	For contributions to test and measurement of communication systems 
Ronald Aarts	2007	For research and application in signal processing for acoustics and sound  reproduction 
Vasudev Aatre	2002	For leadership in research and development for strategic electronics and defense systems 
Behnaam Aazhang	1999	For contributions to multi-user wideband digital cellular communications. 
Magdy Abadir	2006	For contributions to the test and verification of microprocessors. 
Alessandro Abate	2024	For contributions to verification and control of stochastic hybrid systems 
Hussein Abbass	2020	For contributions to evolutionary learning and optimization 
Pieter Abbeel	2018	For contributions to apprenticeship and reinforcement learning for robotics and autonomous systems 
Derek Abbott	2005	For contributions to analysis of noise and stochastic phenomena in vision systems. 
M Abdel-Mottaleb	2011	For contributions to biometrics, content-based image and video retrieval, and digital mammography 
Ali Abdi	2019	For contributions to wireless channel modeling and underwater communications 
David Abe	2015	For leadership and contributions to the development of high power microwave and millimeter wave vacuum  electronic devices 
Eyad Abed	2002	For contributions to the control of nonlinear dynamical systems and singular perturbation methods. 
Karim Abed-Meraim	2019	For contributions to blind system identification and source separation for communications 
Harold Abelson	1995	For contributions to the use of computers in education. 
P Thushara Abhayapala	2024	For contribution to the theory of spherical harmonic-based spatial sound field recording, reproduction, and control 
Asad Abidi	1996	For contributions to the design of high-frequency MOS analog integrated circuits. 
Mohamed D Abouzahra	2011	For leadership in passive planar microwave components and in planar microwave circuits 
Jacob Abraham	1985	For contributions to the testing of large complex integrated circuits. 
Michael Abramoff	2020	For contributions to the application of artificial intelligence methods in diabetic retinopathy 
Yuri Abramovich	2009	For contributions to adaptive signal processing for detection and estimation in  radar arrays 
Miron Abramovici	1993	For contributions to fault simulation and automatic test generation algorithms for VLSI circuits. 
Daniel Abramovitch	2022	For contributions to the development of algorithms for control of mechatronic systems 
Norman Abramson	1973	For contributions to engineering education, coding theory, pattern recognition, and computer networks. 
