Fellow,Year,Country,University,Citation
LEOPOLDO ANGRISANI,2019,Italy,University of Naples Federico II,For contributions to test and measurement of communication systems 
Alessandro Abate,2024,United Kingdom,University of Oxford,For contributions to verification and control of stochastic hybrid systems 
Hussein Abbass,2020,Australia,University of New South Wales,For contributions to evolutionary learning and optimization 
Pieter Abbeel,2018,United States,"University of California, Berkeley",For contributions to apprenticeship and reinforcement learning for robotics and autonomous systems 
Ali Abdi,2019,United States,New Jersey Institute of Technology,For contributions to wireless channel modeling and underwater communications 
David Abe,2015,United States,Naval Research Laboratory,For leadership and contributions to the development of high power microwave and millimeter wave vacuum  electronic devices 
Karim Abed-Meraim,2019,France,"Polytech Orléans, University of Orléans",For contributions to blind system identification and source separation for communications 
P Thushara Abhayapala,2024,Australia,Australian National University,"For contribution to the theory of spherical harmonic-based spatial sound field recording, reproduction, and control "
Michael Abramoff,2020,United States,University of Iowa,For contributions to the application of artificial intelligence methods in diabetic retinopathy 
Daniel Abramovitch,2022,United States,Hewlett Packard Labs,For contributions to the development of algorithms for control of mechatronic systems 
David Abramson,2016,Australia,University of Queensland,"For contributions to software tools for high performance, parallel, and distributed computing "
Pamela Ann Abshire,2018,USA,University of Maryland,For contributions to CMOS biosensors 
Haithem Abu-Rub,2018,Qatar,Texas A&M University at Qatar,For contributions to power electronic converters for renewable energy applications 
Enrique Acha,2021,UK,University of Glasgow,For contributions to power electronics modelling and applications in electrical power systems 
Behcet Acikmese,2022,USA,University of Washington,For contributions to optimization-based nonlinear control and to planetary landing systems 
Edward Adelson,2019,USA,Massachusetts Institute of Technology,For contributions to image representation and analysis in computer vision 
Claudio Adragna,2024,Italy,STMicroelectronics,For contributions to industrial usage of resonant converters in offline power supplies 
Raviraj Adve,2017,Canada,University of Toronto,For development of signal processing techniques for airborne radar 
Vivek Agarwal,2015,India,Indian Institute of Technology Bombay,For contributions to topologies and control schemes for solar photovoltaic energy conversion and power quality enhancement 
Vassilios Agelidis,2016,Australia,University of New South Wales,"For contributions to power electronics, renewable energy conversion and integration with electricity grid "
Amir Aghdam,2023,Canada,Concordia University,For research leadership in distributed control of large-scale interconnected systems 
Erik Agrell,2018,Sweden,Chalmers University of Technology,For contributions to coding and modulation in optical communications 
Gail-Joon Ahn,2023,USA,Arizona State University,For development of applications of information and systems security 
Bo Ai,2022,China,Beijing Jiaotong University,For contributions to channel modeling and wireless communications in high-speed railways 
Sonia Aissa,2019,Canada,Université du Québec en Outaouais,For contributions to design and performance analysis of cognitive radio and cooperative communication systems 
JStewart Aitchison,2019,Canada,University of Toronto,For contributions to nonlinear optical devices and point-of-care testing systems 
Kiyoharu Aizawa,2016,Japan,The University of Tokyo,For contributions to model-based coding and multimedia lifelogging 
Ozgur B Akan,2016,Turkey,Koç University,For contributions to wireless sensor networks 
Maruthi Akella,2022,USA,University of Texas at Austin,For contributions to spacecraft control systems 
Jaleel Akhtar,2023,India,Indian Institute of Technology Kanpur,For contributions in microwave planar sensors and nano-composites-based microwave absorbers 
Bilal Akin,2023,United States,University of Texas at Dallas,"For contributions to control, diagnosis and condition monitoring of AC drives "
Deji Akinwande,2021,United States,University of Texas at Austin,For contributions to wafer-scale graphene synthesis and application to flexible devices 
Kemal Akkaya,2023,United States,Florida International University,For contributions to routing and topology management in wireless ad hoc and sensor networks 
Ghassan AlRegib,2022,United States,Georgia Institute of Technology,For contributions to perception-based and context-based visual signal processing 
Matteo Albani,2018,Italy,University of Siena,For contributions to the uniform geometrical theory of diffraction 
Alin Albu-Schaeffer,2016,Germany,Technical University of Munich,For contributions to compliant and lightweight robots 
Daniel Alexander,2024,United Kingdom,University College London,For contributions to medical imaging and analysis 
Ahmed Ali,2021,Egypt,Cairo University,For leadership in high-speed analog-to-digital converter design and calibration 
Walid Ali-Ahmad,2023,United States,"Qualcomm (company, not university)",For leadership in development of low-cost direct-conversion cellular RF systems 
Massimo Alioto,2016,Singapore,National University of Singapore,For contributions to energy-efficient VLSI circuits 
Paavo Alku,2020,Finland,Aalto University,"For contributions to analysis, synthesis and quality improvement of speech signals "
Andrew Alleyne,2018,United States,University of Illinois Urbana-Champaign,For contributions to the control of thermal management systems 
J Marcos Alonso,2022,Spain,University of Oviedo,For contributions to power electronics in lighting applications 
Husam Alshareef,2024,Saudi Arabia,King Abdullah University of Science and Technology,For the development of nanoscale materials for device applications and their deployment in volume production 
Hector Altuve,2015,Mexico,Instituto Tecnológico y de Estudios Superiores de Monterrey,For contributions to power line and transformer protection 
Alexandre Alves da Silva,2016,Brazil,Federal University of Itajubá,For contributions to dynamic security assessment and load forecasting in power systems 
Lorenzo Alvisi,2016,United States,Cornell University,For contributions to reliable distributed systems 
Aaron Ames,2021,United States,California Institute of Technology,For contributions to hybrid and safety-critical nonlinear control with demonstration on robotic systems 
Massoud Amin,2016,United States,University of Minnesota,For leadership in smart grids and security of critical infrastructures 
Max Ammann,2019,Ireland,Technological University Dublin,For contributions to compact antennas for wideband wireless applications 
Animashree Anandkumar,2021,United States,California Institute of Technology,"For contributions to theory and applications in signal processing, machine learning, and artificial intelligence "
Jason Anderson,2023,Canada,University of Toronto,For contributions to high-level synthesis and low-power FPGAs 
Matthew Andrews,2015,United States,Bell Labs,For contributions to network design and wireless resource allocation 
Francesco Andriulli,2023,Italy,Politecnico di Torino,For contributions to computational electromagnetics 
Lay-Kee Ang,2022,Singapore,Singapore University of Technology and Design,For contributions to electron emission and space charge effects in nanodiode and quantum materials 
David Angeli,2015,United Kingdom,Imperial College London,For contributions to nonlinear control theory 
