Fellow,Year,Country,University,Citation
Hussein Abbass,2020,Australia,University of New South Wales,For contributions to evolutionary learning and optimization
Xiaoli Li,2024,Singapore,Institute for Infocomm Research,For contributions to machine learning models.
David Abramson,2016,Australia,University of Queensland,"For contributions to software tools for high performance, parallel, and distributed computing"
Raj Acharya,2010,United States,Pennsylvania State University,For contributions to biomedical imaging and bioinformatics
Brice Achkir,2014,France,Télécom Paris,For contributions to diagnostics of physical layer design in gigabit digital transmission systems
Edward Adelson,2019,United States,Massachusetts Institute of Technology,For contributions to image representation and analysis in computer vision
Sarita Adve,2012,United States,University of Illinois Urbana-Champaign,For contributions to shared memory semantics and parallel computing
Gail-Joon Ahn,2023,United States,Arizona State University,For development of applications of information and systems security
Robert Campbell Aitken,2013,United States,Cadence Design Systems,For contributions to testing and diagnosis of integrated circuits
Kiyoharu Aizawa,2016,Japan,University of Tokyo,For contributions to model-based coding and multimedia lifelogging
Kemal Akkaya,2023,USA,Florida International University,For contributions to routing and topology management in wireless ad hoc and sensor networks
Mohammad Alam,2014,United States,University of South Alabama,For contributions to pattern recognition and high resolution image reconstruction
Gustavo Alonso,2014,Switzerland,ETH Zurich,For contributions to data management and distributed systems
Srinivas Aluru,2010,USA,Georgia Institute of Technology,For contributions to computational biology
Nancy M. Amato,2010,USA,University of Illinois Urbana-Champaign,For contributions to the algorithmic foundations of motion planning in robotics and computational biology
James Anderson,2012,USA,University of North Carolina at Chapel Hill,For contributions to the implementation of soft-real-time systems on multiprocessor and multicore platforms
Grigoris Antoniou,2022,Greece,University of Crete,For contributions to knowledge representation within artificial intelligence and to the semantic web
Walid Aref,2018,USA,Purdue University,For contributions to spatio-temporal database indexing and query processing
Kohtaro Asai,2018,Japan,University of Tokyo,For contributions to video coding development and standardization
Krste Asanović,2014,USA,"University of California, Berkeley",For contributions to computer architecture
N. Asokan,2017,Finland,Aalto University,For contributions to system security and privacy
David Atienza,2016,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to design methods and tools for multiprocessor systems on chip
Vijayalakshmi Atluri,2023,United States,Rutgers University,For contributions to security and privacy for data and workflow systems
Ronald Azuma,2016,United States,Intel Labs,For contributions to augmented reality
Michael Backes,2019,Germany,CISPA Helmholtz Center for Information Security,For contributions to computer security and privacy
David Bader,2010,United States,New Jersey Institute of Technology,For contributions to parallel algorithms for combinatorial problems and computational biology
Ricardo Baeza-Yates,2011,Spain,Pompeu Fabra University,For contributions to the development of computer science
Nader Bagherzadeh,2014,United States,"University of California, Irvine",For contributions to the design and analysis of coarse-grained reconfigurable processor architectures
